text,date,source
"Program Makan Bergizi Gratis andalan Prabowo-Gibran dimulai Tahun 2025. Namun sejumlah kontroversi mewarnai, mulai dari jumlah anggaran hingga harga 10 ribu rupiah per porsi.

Simak #60MenitSpecialReport pkl 20.30 WIB, hanya di @KompasTV!

📺: https://t.co/rUTSoY8ekA https://t.co/SH62vqO8Bj",2025-01-01 00:00:00+00:00,x
"Kamis (12/12), Mutiara Salsabiela, Luhkan Kab. Indramayu, Acara Makan Bergizi Gratis Memperingati Hari Nusantara Tahun 2024 di Kab. Indramayu
#GiatLuhkanSatminkalBogor #Indramayu #Aktivitas #Luhlapor
@brpbatpp_bogor @pusluh_bppsdm https://t.co/lKYMPXQWTd",2025-01-01 00:00:00+00:00,x
@TarjukiT76485 @geloraco Buat makan bergizi gratis 🤣,2025-01-01 00:00:00+00:00,x
"BGN Ajak Masyarakat Jadi Mitra Program Makan Bergizi Gratis, Ini Syaratnya https://t.co/ZOGN6toT5y",2025-01-01 00:00:00+00:00,x
"Presiden Prabowo mulai berkantor di IKN 17 Agustus 2028, menunggu infrastruktur Eksekutif, Legislatif, dan Yudikatif rampung. Simak progres pembangunan Nusantara di Tahun Baru 2025.
____
Program Makan Bergizi Gratis andalan Prabowo-Gibran dimulai Tahun 2025. Namun sejumlah kontroversi mewarnai, mulai dari jumlah anggaran hingga harga 10 ribu rupiah per porsi.

Selengkapnya? Simak #60MenitSpecialReport Spesial Tahun Baru 2025, malam ini pkl 20.30 WIB, hanya di @KompasTV!

📺: https://t.co/NDSWXwfnVV",2025-01-01 00:00:00+00:00,x
"Waspada! Penipuan Modus Kerja Sama Makan Bergizi Gratis (MBG) Bergentayangan, Pelaku Usaha Katering Jadi Korban 

https://t.co/IjfrW62XDh

#jawapos #tangsel #tangerangselatan #news #berita",2025-01-01 00:00:00+00:00,x
"Program Makan Bergizi Gratis yang diinisiasi pemerintahan Presiden Prabowo Subianto menjadi langkah strategis dalam mewujudkan SDM unggul dengan memastikan pemenuhan kebutuhan gizi masyarakat dengan baik...
https://t.co/vTHFXF5ZHe",2025-01-01 00:00:00+00:00,x
Pengusaha di Jatim Dapat Orderan Bercap TNI Palsu Makan Bergizi Gratis https://t.co/7Ay0BWTNBc,2025-01-01 00:00:00+00:00,x
"Kemarin dinaikkan PPN katanya utk membiayai Makan bergizi gratis..
PPN 12 sekarang katanya hanya utk barang / jasa yg sangat2 mewah...

Jadi yg utk makan gizi gratis sdh ada sumber yg lain?",2025-01-01 00:00:00+00:00,x
"Telur dan Daun Kelor Jadi Alternatif Susu di Program Makan Bergizi Gratis, Gizinya Setara?
https://t.co/nbIsBYhGew",2025-01-01 00:00:00+00:00,x
"Presiden Prabowo Subianto mengatakan program makan bergizi gratis akan berdampak positif terhadap perekonomian di desa. Ia meyakini akan terjadi peningkatan perputaran uang lima hingga tujuh kali di desa.

#PresidenPrabowo #PrabowoSubianto #MakanBergiziGratis #ProgramMakanBergiziGratis #MetroTV",2025-01-01 00:00:00+00:00,x
"Wah, program bagus nih untuk mengatasi masalah gizi buruk di Indonesia. Semoga pelaksanaannya berjalan lancar dan bisa menjangkau anak-anak yang membutuhkan. Kita doakan saja yang terbaik!

https://t.co/iFPCrLKbSq",2025-01-01 00:00:00+00:00,x
"Bakal banyak kasus seperti ini. Penipuan Tender Program Makan Bergizi Gratis, Puluhan Katering di Kediri Rugi Rp 72 Juta. https://t.co/At352wZyWo",2025-01-01 00:00:00+00:00,x
@kegblgnunfaedh Makan bergizi gratis jg libur ya? Kan puasa 👍,2025-01-01 00:00:00+00:00,x
TNI Bakal Luncurkan 100 Lokasi Dapur Makan Bergizi Gratis Besok #TempoNasional,2025-01-01 00:00:00+00:00,x
"Kepala Badan Gizi Nasional Dadan Hindayana meminta warga melapor jika menjadi korban penipuan yang mengatasnamakan program makan bergizi gratis.

https://t.co/fhTTdvzuHF",2025-01-02 00:00:00+00:00,x
"Waspada atau Syukur?  Program Makan Bergizi Gratis akan Mulai Serentak 6 Januari 2025
https://t.co/LFs4onsnEi",2025-01-02 00:00:00+00:00,x
